Party;Date;# of Seats;% of Seats;# of Votes;% of Votes
YB-Israel - National Unity – Israel our Home (National Unity – Israel our Home, YB-Israel);10. Feb 09;15;12. Mai;394577;11. Jul
YB-Israel - National Unity – Israel our Home (National Unity – Israel our Home, YB-Israel);19-Mar-15;6;5;215083;05. Jan
YeshAtid - There Is A Future (Yesh Atid, YeshAtid);22. Jan 13;19;15. Aug;543458;14. Mrz
YeshAtid - There Is A Future (Yesh Atid, YeshAtid);19-Mar-15;11;09. Feb;370850;08. Aug
YH - Yahadut Ha'thora (Yahadut Ha'thora, YH);23. Jun 92;4;03. Mrz;86167;03. Mrz
YH - Yahadut Ha'thora (Yahadut Ha'thora, YH);29-May-96;4;03. Mrz;98657;03. Feb
ThirdWay - The Third Way (The Third Way, ThirdWay);17-May-99;0;0;26290;0.8
YH - Yahadut Ha'thora (Yahadut Ha'thora, YH);28. Jan 03;5;04. Feb;135087;04. Mrz
YH - Yahadut Ha'thora (Yahadut Ha'thora, YH);28-Mar-06;6;5;147091;04. Jul
YY - Yemin Yisrael (Yemin Yisrael, YY);29-May-96;0;0;2845;0.1
